CollegeName,CollegeUrl,CollegeLocation,Course1,Course1Fees,Course2,Course2Fees,CollegeRanking,CollegeRating
Uttar Banga Krishi Vishwavidyalaya - [UBKV],https://zollege.in/university/185343-uttar-banga-krishi-vishwavidyalaya-ubkv-cooch-behar,"Cooch Behar, West Bengal | AICTE, UGC Accredited",B.Sc (Agriculture),₹ 4 K,M.Sc (Agriculture),₹ 6 K,,6.6/10 (7 Reviews)
University of Kota - [UOK],https://zollege.in/university/185173-university-of-kota-uok-kota,"Kota, Rajasthan | UGC Accredited",B.Sc,₹ 15 K,M.Sc,₹ 15 K,,6.8/10 (5 Reviews)
Sonopant Dandekar Shikshan Mandali - [SDSM],https://zollege.in/college/220075-sonopant-dandekar-shikshan-mandali-sdsm-palghar,"Palghar, Maharashtra",B.Sc,₹ 29.02 K,M.Sc,₹ 39.05 K,ranking 154 out of 178 in 2021,
Sumandeep Vidyapeeth,https://zollege.in/university/184834-sumandeep-vidyapeeth-vadodara,"Vadodara, Gujarat | PCI, INC, MCI, UGC, MHRD Accredited",M.Sc (Medicine),₹ 42.5 K,Master of Physiotherapy(MPT),₹ 1.5 Lakhs,NIRFranking 193 out of 201 in 2023,
Manipal Institute of Technology Bengaluru - [MIT],https://zollege.in/college/222379-manipal-institute-of-technology-bengaluru-mit-bangalore,"Bangalore, Karnataka | AICTE, MHRD Accredited",BE/B.Tech,₹ 3.35 Lakhs,,,IIRFranking 136 out of 166 in 2023,7.2/10 (7 Reviews)
Samskruti College of Pharmacy,https://zollege.in/college/169231-samskruti-college-of-pharmacy-hyderabad,"Hyderabad, Telangana | AICTE, PCI Accredited",B.Pharm,₹ 62 K,M.Pharm,₹ 1.1 Lakhs,,
Vivekanand Institute of Management - [VIM],https://zollege.in/college/218947-vivekanand-institute-of-management-vim-ahmedabad,"Ahmedabad, Gujarat | AICTE Accredited",BHM,₹ 67.25 K,UG Diploma in HM,₹ 90 K,,
Shri Guru Gobind Singhji Institute of Engineering and Technology - [SGGSIE&T],https://zollege.in/college/174401-shri-guru-gobind-singhji-institute-of-engineering-and-technology-sggsieandt-nanded,"Nanded, Maharashtra | AICTE, NBA Accredited",BE/B.Tech,₹ 83.04 K,ME/M.Tech,₹ 93.48 K,NIRF Innovationranking 4 out of 25 in 2020,8.1/10 (10 Reviews)
Kongu School of Architecture,https://zollege.in/college/222296-kongu-school-of-architecture-perundurai,"Perundurai, Tamil Nadu",B.Arch,No Fees Found,,,IIRFranking 17 out of 45 in 2024,
Bharathidasan University - [BU],https://zollege.in/university/185194-bharathidasan-university-bu-tiruchirappalli,"Tiruchirappalli, Tamil Nadu | UGC Accredited",B.Sc,₹ 44.25 K,M.Sc,₹ 31.15 K,NIRFranking 41 out of 201 in 2023,10/10 (1 Reviews)
Rajkiya Engineering College - [REC],https://zollege.in/college/187549-rajkiya-engineering-college-rec-azamgarh,"Azamgarh, Uttar Pradesh | AICTE Accredited",BE/B.Tech,No Fees Found,,,IIRFranking 158 out of 170 in 2023,7/10 (1 Reviews)
Shia PG College,https://zollege.in/college/163561-shia-pg-college-lucknow,"Lucknow, Uttar Pradesh",BA,₹ 6.96 K,MA,₹ 16 K,,7/10 (1 Reviews)
Indian Academy Degree College - [IADC-A],https://zollege.in/college/161280-indian-academy-degree-college-iadca-bangalore,"Bangalore, Karnataka | UGC Accredited",B.Sc,₹ 61.7 K,M.Sc,₹ 55 K,ranking 97 out of 120 in 2020,6.7/10 (2 Reviews)
