CollegeName,CollegeUrl,CollegeLocation,Course1,Course1Fees,Course2,Course2Fees,CollegeRanking,CollegeRating
Abhinav Education Society's College of Pharmacy,https://zollege.in/college/168523-abhinav-education-societys-college-of-pharmacy-pune,"Pune, Maharashtra | AICTE Accredited",B.Pharm,₹ 99 K,M.Phil/Ph.D in Pharmacy,₹ 90 K,,
Cusrow Wadia Institute of Technology,https://zollege.in/college/172606-cusrow-wadia-institute-of-technology-pune,"Pune, Maharashtra | AICTE Accredited",Diploma in Engineering,₹ 71 K,,,,3.7/10 (1 Reviews)
Patna Science College,https://zollege.in/college/176107-patna-science-college-patna,"Patna, Bihar | AICTE, UGC Accredited",B.Sc,₹ 54.5 K,,,,6.8/10 (2 Reviews)
Gandhinagar Institute of Technology - [GIT],https://zollege.in/college/172855-gandhinagar-institute-of-technology-git-gandhi-nagar,"Gandhi Nagar, Gujarat | AICTE Accredited",BE/B.Tech,₹ 40 K,ME/M.Tech,₹ 50 K,,5.5/10 (2 Reviews)
Central University of Haryana - [CUH],https://zollege.in/university/184842-central-university-of-haryana-cuh-narnaul,"Narnaul, Haryana | UGC, MHRD Accredited",M.Sc,₹ 14.95 K,M.Phil/Ph.D in Science,₹ 22.6 K,NIRFranking 151 out of 200 in 2022,7.3/10 (3 Reviews)
Malda Medical College and Hospital,https://zollege.in/college/217348-malda-medical-college-and-hospital-malda,"Malda, West Bengal | MCI Accredited",MBBS,₹ 40.5 K,MD,₹ 48 K,,
Global Institute of Engineering and Technology - [GIT],https://zollege.in/college/172879-global-institute-of-engineering-and-technology-git-vellore,"Vellore, Tamil Nadu | AICTE Accredited",BE/B.Tech,₹ 50 K,ME/M.Tech,₹ 50 K,,
Ezhuthachan College of Pharmaceutical Sciences - [ENAPC],https://zollege.in/college/168730-ezhuthachan-college-of-pharmaceutical-sciences-enapc-neyyattinkara,"Neyyattinkara, Kerala | AICTE Accredited",B.Pharm,₹ 19.5 K,,,,
Government Sri Krishnarajendra Silver Jubilee Technological Institute,https://zollege.in/college/172941-government-sri-krishnarajendra-silver-jubilee-technological-institute-bangalore,"Bangalore, Karnataka | AICTE Accredited",BE/B.Tech,₹ 25 K,ME/M.Tech,₹ 60 K,,
Wildlife Institute of India - [WII],https://zollege.in/college/178571-wildlife-institute-of-india-wii-dehradun,"Dehradun, Uttarakhand",M.Sc,₹ 5.33 Lakhs,PG Diploma in Science,₹ 11 Lakhs,,
Inderprastha Engineering College - [IPEC],https://zollege.in/college/173102-inderprastha-engineering-college-ipec-ghaziabad,"Ghaziabad, Uttar Pradesh | AICTE, NBA Accredited",BE/B.Tech,₹ 1.36 Lakhs,ME/M.Tech,₹ 1.1 Lakhs,,7.8/10 (19 Reviews)
RCC Institute of Information Technology - [RCCIIT],https://zollege.in/college/173962-rcc-institute-of-information-technology-rcciit-kolkata,"Kolkata, West Bengal | AICTE Accredited",BE/B.Tech,₹ 92.7 K,ME/M.Tech,₹ 91.6 K,,6.7/10 (23 Reviews)
University of Jammu,https://zollege.in/university/184896-university-of-jammu-jammu,"Jammu, Jammu and Kashmir | UGC Accredited",MA,No Fees Found,M.Phil/Ph.D in Arts,No Fees Found,NIRFranking 63 out of 201 in 2023,6.2/10 (2 Reviews)
Jodhpur Institute of Engineering and Technology - [JIET],https://zollege.in/college/173203-jodhpur-institute-of-engineering-and-technology-jiet-jodhpur,"Jodhpur, Rajasthan | AICTE, NBA Accredited",BE/B.Tech,₹ 1.13 Lakhs,ME/M.Tech,₹ 1.08 Lakhs,,5.9/10 (7 Reviews)
Kamla Nehru College of Pharmacy,https://zollege.in/college/168915-kamla-nehru-college-of-pharmacy-nagpur,"Nagpur, Maharashtra | AICTE, PCI Accredited",B.Pharm,₹ 99 K,M.Pharm,₹ 1.17 Lakhs,,
Sri Devaraj Urs Medical College,https://zollege.in/college/217458-sri-devaraj-urs-medical-college-kolar,"Kolar, Karnataka | MCI Accredited",MS,₹ 32 Lakhs,M.Phil/Ph.D in Medicine,₹ 1 Lakhs,,
KIPM College of Engineering and Technology - [KIPM],https://zollege.in/college/173335-kipm-college-of-engineering-and-technology-kipm-gorakhpur,"Gorakhpur, Uttar Pradesh | AICTE Accredited",BE/B.Tech,₹ 64.71 K,Diploma in Engineering,₹ 30.15 K,,5.5/10 (2 Reviews)
Assam Don Bosco University - [ADBU],https://zollege.in/college/184715-assam-don-bosco-university-adbu-guwahati,"Guwahati, Assam | AICTE, UGC Accredited",M.Sc,₹ 1.14 Lakhs,M.Phil/Ph.D in Science,₹ 1.49 Lakhs,NIRFranking 151 out of 200 in 2020,6.5/10 (3 Reviews)
Meenakshi Sundararajan Engineering College - [MSEC],https://zollege.in/college/173636-meenakshi-sundararajan-engineering-college-msec-chennai,"Chennai, Tamil Nadu | AICTE Accredited",BE/B.Tech,₹ 87 K,ME/M.Tech,₹ 1 Lakhs,NIRFranking 251 out of 300 in 2020,7.8/10 (3 Reviews)
Nandha Engineering College - [NEC],https://zollege.in/college/173741-nandha-engineering-college-nec-erode,"Erode, Tamil Nadu | AICTE, UGC, NBA Accredited",BE/B.Tech,₹ 2.2 Lakhs,ME/M.Tech,₹ 50 K,ranking 113 out of 150 in 2019,7.3/10 (1 Reviews)
Spectrum Institute of Pharmaceutical Sciences & Research - [SIPSAR],https://zollege.in/college/169355-spectrum-institute-of-pharmaceutical-sciences-and-research-sipsar-greater-noida,"Greater Noida, Uttar Pradesh | PCI, NBA Accredited",B.Pharm,₹ 99.75 K,Graduate Diploma in Pharmacy,₹ 95.75 K,,
Karnataka State Open University - [KSOU],https://zollege.in/university/184933-karnataka-state-open-university-ksou-mysore,"Mysore, Karnataka | UGC Accredited",MA,₹ 10.6 K,Diploma in Arts,₹ 3.4 K,,
RR Institute of Technology - [RRIT],https://zollege.in/college/173989-rr-institute-of-technology-rrit-bangalore,"Bangalore, Karnataka | AICTE Accredited",BE/B.Tech,₹ 1.95 Lakhs,,,,8/10 (1 Reviews)
Kalpana Chawla Government Medical College - [KCGMC],https://zollege.in/college/218538-kalpana-chawla-government-medical-college-kcgmc-karnal,"Karnal, Haryana | MCI Accredited",MBBS,₹ 52.07 K,Diplomate National Board [DNB],₹ 1.25 Lakhs,,8.7/10 (2 Reviews)
Kerala University of Fisheries and Ocean Studies - [KUFOS] Panangad,https://zollege.in/university/184968-kerala-university-of-fisheries-and-ocean-studies-kufos-panangad-kochi,"Kochi, Kerala | AICTE, UGC Accredited",M.Sc,₹ 74.88 K,M.F.Sc,₹ 55.28 K,,7/10 (1 Reviews)
Rajiv Gandhi Institute of Technology - [RGIT],https://zollege.in/college/174055-rajiv-gandhi-institute-of-technology-rgit-mumbai,"Mumbai, Maharashtra | AICTE Accredited",BE/B.Tech,₹ 1.2 Lakhs,ME/M.Tech,₹ 90 K,,7.8/10 (3 Reviews)
Baba MastNath University - [BMU],https://zollege.in/university/184840-baba-mastnath-university-bmu-rohtak,"Rohtak, Haryana | UGC Accredited",MA,₹ 25 K,BA,₹ 20 K,,
Lakshmi Narain College of Technology & Science - [LNCTS],https://zollege.in/college/174102-lakshmi-narain-college-of-technology-and-science-lncts-indore,"Indore, Madhya Pradesh | AICTE Accredited",BE/B.Tech,₹ 60 K,ME/M.Tech,₹ 60 K,,7.7/10 (1 Reviews)
Swami Vivekanand College of Pharmacy,https://zollege.in/college/169431-swami-vivekanand-college-of-pharmacy-indore,"Indore, Madhya Pradesh | AICTE, PCI Accredited",B.Pharm,₹ 39 K,M.Pharm,₹ 62 K,,6.7/10 (1 Reviews)
Maharaja Agrasen Institute of Management studies - [MAIMS],https://zollege.in/college/215162-maharaja-agrasen-institute-of-management-studies-maims-new-delhi,"New Delhi, Delhi NCR | BCI, UGC Accredited",LLB,₹ 1.43 Lakhs,LLM,₹ 1.39 Lakhs,NIRFranking 151 out of 200 in 2023,7.5/10 (5 Reviews)
Sree Sastha Institute of Engineering and Technology,https://zollege.in/college/174516-sree-sastha-institute-of-engineering-and-technology-chennai,"Chennai, Tamil Nadu | AICTE, NBA Accredited",BE/B.Tech,₹ 75 K,ME/M.Tech,₹ 52 K,,7.7/10 (1 Reviews)
DAV Centenary College,https://zollege.in/college/160208-dav-centenary-college-faridabad,"Faridabad, Haryana | AICTE Accredited",B.Com,₹ 31.27 K,M.Com,₹ 28.69 K,ranking 95 out of 146 in 2021,4.9/10 (6 Reviews)
Karpagam Academy of Higher Education - [KAHE],https://zollege.in/university/185205-karpagam-academy-of-higher-education-kahe-coimbatore,"Coimbatore, Tamil Nadu | AICTE, UGC Accredited",B.Sc,₹ 40.5 K,M.Sc,₹ 54.5 K,NIRFranking 169 out of 201 in 2023,9.2/10 (2 Reviews)
Singhania University,https://zollege.in/university/185167-singhania-university-jhunjhunu,"Jhunjhunu, Rajasthan | AICTE, UGC Accredited",MA,₹ 22 K,M.Phil/Ph.D in Arts,₹ 52 K,,8/10 (1 Reviews)
Sri Siddhartha Institute of Technology - [SSIT],https://zollege.in/college/174588-sri-siddhartha-institute-of-technology-ssit-tumkur,"Tumkur, Karnataka | AICTE Accredited",BE/B.Tech,₹ 1.4 Lakhs,ME/M.Tech,₹ 1 Lakhs,,9/10 (1 Reviews)
Ch. Brahm Prakash Ayurved Charak Sansthan,https://zollege.in/college/219115-ch-brahm-prakash-ayurved-charak-sansthan-new-delhi,"New Delhi, Delhi NCR",BAMS,₹ 69 K,MD,₹ 74 K,,
Sri Venkateshwara College of Engineering - [SVCE],https://zollege.in/college/174600-sri-venkateshwara-college-of-engineering-svce-bangalore,"Bangalore, Karnataka | AICTE, NBA Accredited",BE/B.Tech,₹ 1.25 Lakhs,ME/M.Tech,₹ 83.45 K,NIRF Innovationranking 26 out of 50 in 2020,6.2/10 (2 Reviews)
Goel Institute of Pharmacy & Sciences - [GIPS],https://zollege.in/college/216626-goel-institute-of-pharmacy-and-sciences-gips-lucknow,"Lucknow, Uttar Pradesh | AICTE, PCI Accredited",B.Pharm,₹ 78.59 K,M.Pharm,₹ 78.59 K,,
Suddhananda Engineering and Research Centre - [SERC],https://zollege.in/college/174667-suddhananda-engineering-and-research-centre-serc-bhubaneswar,"Bhubaneswar, Orissa | AICTE Accredited",BE/B.Tech,₹ 60 K,ME/M.Tech,₹ 69.6 K,,
Vidyavardhan's Institute of Design Environment and Architecture - [IDEA],https://zollege.in/college/164920-vidyavardhans-institute-of-design-environment-and-architecture-idea-nashik,"Nashik, Maharashtra | AICTE, COA Accredited",B.Arch,₹ 1.15 Lakhs,,,IIRFranking 34 out of 45 in 2024,
Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],https://zollege.in/university/185214-ponnaiyah-ramajayam-institute-of-science-and-technology-university-prist-university-thanjavur,"Thanjavur, Tamil Nadu | NCTE, AICTE, COA, PCI, BCI Accredited",B.Sc,₹ 10 K,M.Sc,₹ 14 K,TOIranking 32 out of 173 in 2022,
Yaduvanshi College of Engineering and Technology - [YCET],https://zollege.in/college/174823-yaduvanshi-college-of-engineering-and-technology-ycet-jhunjhunu,"Jhunjhunu, Rajasthan | AICTE Accredited",BE/B.Tech,₹ 62 K,,,,
Ashoka University,https://zollege.in/university/214160-ashoka-university-sonepat,"Sonepat, Haryana | UGC Accredited",BA,₹ 9.25 Lakhs,MA,₹ 4.98 Lakhs,NIRFranking 104 out of 201 in 2023,8.1/10 (4 Reviews)
Acharya Institute of Health Sciences - [AIHS],https://zollege.in/college/169538-acharya-institute-of-health-sciences-aihs-bangalore,"Bangalore, Karnataka | INC, KNC, IAP Accredited",Bachelor of Physiotherapy(BPT),₹ 3.25 Lakhs,B.Sc (Medicine),₹ 2.85 Lakhs,,7.3/10 (1 Reviews)
The Great Eastern Institute of Maritime Studies - [GEIMS ],https://zollege.in/college/175897-the-great-eastern-institute-of-maritime-studies-geims-pune,"Pune, Maharashtra",Graduate Diploma in Engineering,₹ 5.41 Lakhs,,,,
"Aditya Pharmacy College, Surampalem",https://zollege.in/college/217380-aditya-pharmacy-college-surampalem-east-godavari,"East Godavari, Andhra Pradesh | AICTE, PCI Accredited",B.Pharm,₹ 4.4 Lakhs,M.Phil/Ph.D in Pharmacy,₹ 4.08 Lakhs,,8.2/10 (2 Reviews)
Uttaranchal Institute of Technology - [UIT],https://zollege.in/college/178415-uttaranchal-institute-of-technology-uit-dehradun,"Dehradun, Uttarakhand | AICTE Accredited",BE/B.Tech,₹ 1.68 Lakhs,ME/M.Tech,₹ 1.1 Lakhs,ranking 165 out of 254 in 2020,8.5/10 (2 Reviews)
The American College,https://zollege.in/college/215091-the-american-college-madurai,"Madurai, Tamil Nadu | AICTE Accredited",B.Sc,₹ 29.01 K,M.Sc,₹ 25.81 K,NIRFranking 58 out of 200 in 2023,8.7/10 (5 Reviews)
Jai Narain College of Technology - [JNCT],https://zollege.in/college/183446-jai-narain-college-of-technology-jnct-bhopal,"Bhopal, Madhya Pradesh | AICTE Accredited",BE/B.Tech,₹ 55 K,ME/M.Tech,₹ 60 K,,7.5/10 (4 Reviews)
"University of Madras, Institute of Distance Education",https://zollege.in/college/215272-university-of-madras-institute-of-distance-education-chennai,"Chennai, Tamil Nadu | UGC Accredited",BA,₹ 5.57 K,MA,₹ 6.5 K,,
"University Institute of Information Technology, Himachal Pradesh University - [UIIT]",https://zollege.in/college/183875-university-institute-of-information-technology-himachal-pradesh-university-uiit-shimla,"Shimla, Himachal Pradesh | AICTE Accredited",BE/B.Tech,₹ 1.21 Lakhs,ME/M.Tech,₹ 75.31 K,,3.8/10 (2 Reviews)
"Sri Indu Institute of Pharmacy, Ibrahimpatnam",https://zollege.in/college/217445-sri-indu-institute-of-pharmacy-ibrahimpatnam-hyderabad,"Hyderabad, Telangana | AICTE, PCI Accredited",B.Pharm,₹ 72 K,M.Phil/Ph.D in Pharmacy,₹ 90 K,,
Hassan Institute of Medical Sciences - [HIMS],https://zollege.in/college/169833-hassan-institute-of-medical-sciences-hims-hassan,"Hassan, Karnataka | MCI Accredited",MBBS,₹ 67 K,MD,₹ 63.9 K,,7.3/10 (5 Reviews)
United Group of Institutions - [UGI],https://zollege.in/college/187395-united-group-of-institutions-ugi-greater-noida,"Greater Noida, Uttar Pradesh | AICTE, MHRD Accredited",BE/B.Tech,₹ 1.3 Lakhs,ME/M.Tech,₹ 80 K,TOIranking 70 out of 125 in 2023,7.9/10 (3 Reviews)
AP Goyal Shimla University,https://zollege.in/university/184867-ap-goyal-shimla-university-shimla,"Shimla, Himachal Pradesh | COA, BCI, UGC, AIU Accredited",LLB,₹ 1 Lakhs,LLM,₹ 1 Lakhs,IIRFranking 136 out of 171 in 2023,
B P Marine Academy - [BPMA],https://zollege.in/college/215544-b-p-marine-academy-bpma-navi-mumbai,"Navi Mumbai, Maharashtra | AICTE Accredited",B.Sc,₹ 3.9 Lakhs,Certificate in Science,₹ 1.46 Lakhs,,
Doaba Group of Colleges - [DGC],https://zollege.in/college/187449-doaba-group-of-colleges-dgc-mohali,"Mohali, Punjab | AICTE Accredited",BE/B.Tech,₹ 3.18 Lakhs,ME/M.Tech,₹ 1.25 Lakhs,,
CSIR - Central ElectroChemical Research Institute - [CSIR-CECRI],https://zollege.in/college/187622-csir-central-electrochemical-research-institute-csircecri-sivaganga,"Sivaganga, Tamil Nadu",BE/B.Tech,₹ 55 K,,,,
Srinivasa Institute of Pharmaceutical Sciences,https://zollege.in/college/217844-srinivasa-institute-of-pharmaceutical-sciences-proddatur,"Proddatur, Andhra Pradesh | AICTE, PCI Accredited",B.Pharm,₹ 36.7 K,M.Phil/Ph.D in Pharmacy,₹ 68 K,,
Govind Guru Tribal University,https://zollege.in/university/219491-govind-guru-tribal-university-banswara,"Banswara, Rajasthan | AICTE, UGC Accredited",MA,₹ 10 K,,,,10/10 (1 Reviews)
University Institute of Engineering and Technology - [UIET],https://zollege.in/college/188180-university-institute-of-engineering-and-technology-uiet-kanpur,"Kanpur, Uttar Pradesh | AICTE Accredited",BE/B.Tech,₹ 83.64 K,,,,6.4/10 (5 Reviews)
LLRM Medical College,https://zollege.in/college/169976-llrm-medical-college-meerut,"Meerut, Uttar Pradesh | MCI Accredited",MBBS,₹ 43 K,MD,₹ 43 K,,8.7/10 (3 Reviews)
GITAM School of Law,https://zollege.in/college/216336-gitam-school-of-law-visakhapatnam,"Visakhapatnam, Andhra Pradesh | BCI Accredited",LLB,₹ 1.05 Lakhs,LLM,₹ 1.32 Lakhs,IIRFranking 33 out of 50 in 2024,
Jogamaya Devi college,https://zollege.in/college/217440-jogamaya-devi-college-kolkata,"Kolkata, West Bengal",B.Sc,₹ 12.44 K,M.Sc,₹ 20.7 K,,3.7/10 (1 Reviews)
Birla Institute of Technology Extension Centre - [BIT],https://zollege.in/college/188263-birla-institute-of-technology-extension-centre-bit-deoghar,"Deoghar, Jharkhand | AICTE Accredited",BE/B.Tech,₹ 4.05 Lakhs,,,NIRF Innovationranking 26 out of 50 in 2020,8.2/10 (2 Reviews)
PES Institute of Technology and Management - [PESITM],https://zollege.in/college/215369-pes-institute-of-technology-and-management-pesitm-shimoga,"Shimoga, Karnataka | AICTE Accredited",BE/B.Tech,₹ 6.55 Lakhs,,,,7/10 (1 Reviews)
Mahathi College of Pharmacy - [MCPM],https://zollege.in/college/217850-mahathi-college-of-pharmacy-mcpm-madanapalle,"Madanapalle, Andhra Pradesh | AICTE, PCI Accredited",B.Pharm,₹ 55.6 K,M.Pharm,₹ 65.2 K,,
Pratap University - [PU],https://zollege.in/university/215784-pratap-university-pu-jaipur,"Jaipur, Rajasthan | PCI, UGC, AIU Accredited",BE/B.Tech,₹ 3.87 Lakhs,Diploma in Engineering,₹ 1.4 Lakhs,,
GS College of Commerce,https://zollege.in/college/175096-gs-college-of-commerce-wardha,"Wardha, Maharashtra",MBA/PGDM,No Fees Found,,,,
GSFC University,https://zollege.in/university/217831-gsfc-university-vadodara,"Vadodara, Gujarat | UGC Accredited",B.Sc,₹ 84 K,M.Sc,₹ 80 K,IIRFranking 160 out of 171 in 2023,7.7/10 (1 Reviews)
Acharya Nagarjuna University - [ANU],https://zollege.in/university/184665-acharya-nagarjuna-university-anu-guntur,"Guntur, Andhra Pradesh | UGC Accredited",BA,₹ 5.95 K,MA,₹ 6.9 K,NIRFranking 151 out of 200 in 2022,7.6/10 (8 Reviews)
Babu Banarasi Das Northern India Institute of Technology - [BBDNIIT],https://zollege.in/college/216737-babu-banarasi-das-northern-india-institute-of-technology-bbdniit-lucknow,"Lucknow, Uttar Pradesh | AICTE Accredited",BE/B.Tech,₹ 1.06 Lakhs,ME/M.Tech,₹ 57.5 K,,8.5/10 (9 Reviews)
SVS Medical College,https://zollege.in/college/170249-svs-medical-college-mahabub-nagar,"Mahabub Nagar, Telangana | MCI Accredited",PG Diploma in Medical,₹ 3.2 Lakhs,Diploma in Medical,₹ 3.2 Lakhs,,
Institute of Technology and Management - [ITM],https://zollege.in/college/216806-institute-of-technology-and-management-itm-gorakhpur,"Gorakhpur, Uttar Pradesh | AICTE, PCI Accredited",BE/B.Tech,₹ 55 K,,,,6.6/10 (3 Reviews)
Millennium College Of Pharmacy,https://zollege.in/college/218001-millennium-college-of-pharmacy-bhopal,"Bhopal, Madhya Pradesh | PCI Accredited",B.Pharm,₹ 55 K,M.Pharm,₹ 1.4 Lakhs,,7/10 (1 Reviews)
Siddharth Institute of Engineering & Technology - [SIETK],https://zollege.in/college/217046-siddharth-institute-of-engineering-and-technology-sietk-puttur,"Puttur, Andhra Pradesh | AICTE, MCI, NBA Accredited",BE/B.Tech,₹ 37 K,ME/M.Tech,₹ 57 K,,8.7/10 (6 Reviews)
"PDM University, Bahadurgarh",https://zollege.in/university/217866-pdm-university-bahadurgarh-bahadurgarh,"Bahadurgarh, Haryana | UGC Accredited",M.Sc,₹ 69.7 K,B.Sc,₹ 70.7 K,,4/10 (2 Reviews)
T John Institute of Management and Science - [TJIMS],https://zollege.in/college/217482-t-john-institute-of-management-and-science-tjims-bangalore,"Bangalore, Karnataka",BBA/BBM,₹ 1.85 Lakhs,MBA/PGDM,₹ 3.54 Lakhs,ranking 261 out of 284 in 2019,
Indian Institute of Remote Sensing - [IIRS],https://zollege.in/college/217816-indian-institute-of-remote-sensing-iirs-dehradun,"Dehradun, Uttarakhand | MHRD Accredited",ME/M.Tech,₹ 1.66 Lakhs,,,,
Panjab University - [PU],https://zollege.in/university/184744-panjab-university-pu-chandigarh,"Chandigarh, Chandigarh | AICTE Accredited",BA,₹ 8.1 K,MA,₹ 8.1 K,NIRFranking 25 out of 201 in 2023,8.3/10 (12 Reviews)
Kanchi Kamakoti Childs Trust Hospital - [KKCTH],https://zollege.in/college/214991-kanchi-kamakoti-childs-trust-hospital-kkcth-chennai,"Chennai, Tamil Nadu",Diplomate National Board [DNB],No Fees Found,MD,No Fees Found,,
Mother Teresa Women's University,https://zollege.in/university/214162-mother-teresa-womens-university-dindigul,"Dindigul, Tamil Nadu",M.Phil/Ph.D in Arts,₹ 7.5 K,BA,₹ 6.1 K,,
Maharashtra College of Pharmacy - [MCPN],https://zollege.in/college/218411-maharashtra-college-of-pharmacy-mcpn-nilanga,"Nilanga, Maharashtra | AICTE, PCI Accredited",B.Pharm,₹ 94.57 K,M.Pharm,₹ 1.15 Lakhs,,
Buddha Institute of Technology- [BIT],https://zollege.in/college/218149-buddha-institute-of-technology-bit-gaya,"Gaya, Bihar | AICTE Accredited",BE/B.Tech,₹ 70 K,,,,
Prof. Brijmohan Mishra Institute of Medical & Technical Sciences - [BIMTS],https://zollege.in/college/217968-prof-brijmohan-mishra-institute-of-medical-and-technical-sciences-bimts-burhanpur,"Burhanpur, Madhya Pradesh | INC Accredited",B.Sc,₹ 16.5 K,M.Sc,₹ 25.5 K,,
Padmabhooshan Vasantdada Patil Institute of Technology - [PVPIT] Bavdhan,https://zollege.in/college/218202-padmabhooshan-vasantdada-patil-institute-of-technology-pvpit-bavdhan-pune,"Pune, Maharashtra | AICTE Accredited",BE/B.Tech,₹ 1.1 Lakhs,ME/M.Tech,₹ 94.32 K,,7.7/10 (1 Reviews)
Maharaja Sayajirao University of Baroda - [MSU],https://zollege.in/university/184821-maharaja-sayajirao-university-of-baroda-msu-vadodara,"Vadodara, Gujarat | UGC Accredited",BA,₹ 7.74 K,MA,₹ 8.36 K,NIRFranking 132 out of 201 in 2023,7.4/10 (24 Reviews)
Madhyanchal Professional University - [MPU],https://zollege.in/university/218732-madhyanchal-professional-university-mpu-bhopal,"Bhopal, Madhya Pradesh | NCTE, AICTE, PCI, UGC Accredited",BE/B.Tech,₹ 40 K,ME/M.Tech,₹ 60 K,,
Ahalia School of Pharmacy - [ASP],https://zollege.in/college/218562-ahalia-school-of-pharmacy-asp-palakkad,"Palakkad, Kerala | PCI Accredited",B.Pharm,₹ 1.36 Lakhs,M.Pharm,₹ 2.31 Lakhs,,
Fakhruddin Ali Ahmed Medical College and Hospital - [FAAMCH],https://zollege.in/college/217210-fakhruddin-ali-ahmed-medical-college-and-hospital-faamch-barpeta,"Barpeta, Assam | MCI Accredited",MBBS,₹ 20 K,MS,₹ 35.3 K,,
Sharnbasva university,https://zollege.in/university/219109-sharnbasva-university-gulbarga,"Gulbarga, Karnataka | UGC Accredited",BE/B.Tech,₹ 62.57 K,ME/M.Tech,₹ 1.24 Lakhs,,6.8/10 (2 Reviews)
"Bharathidasan University, Centre for Distance Education - [BUCDE]",https://zollege.in/college/215158-bharathidasan-university-centre-for-distance-education-bucde-tiruchirappalli,"Tiruchirappalli, Tamil Nadu | UGC, DEB Accredited",Diploma in Arts,₹ 150,BA,₹ 6.42 K,,
Amity University,https://zollege.in/university/221880-amity-university-mohali,"Mohali, Punjab | NCTE, COA, BCI, UGC, AIU Accredited",B.Sc,₹ 1.1 Lakhs,M.Sc,₹ 1.1 Lakhs,,7.7/10 (4 Reviews)
Government Industrial Training Institute - [GITI],https://zollege.in/college/220115-government-industrial-training-institute-giti-cuttack,"Cuttack, Orissa",Certificate in Engineering,No Fees Found,Training Programs,No Fees Found,,
Govt. Polytechnic,https://zollege.in/college/220231-govt-polytechnic-kangra,"Kangra, Himachal Pradesh | AICTE Accredited",Diploma in Engineering,No Fees Found,UG Diploma in Engineering,No Fees Found,,
Kmct College of Pharmaceutical Science - [KMCT],https://zollege.in/college/218827-kmct-college-of-pharmaceutical-science-kmct-calicut,"Calicut, Kerala | AICTE, PCI Accredited",B.Pharm,₹ 1.36 Lakhs,M.Phil/Ph.D in Pharmacy,₹ 2 Lakhs,,
Manipur University - [MU],https://zollege.in/university/185057-manipur-university-mu-imphal,"Imphal, Manipur | UGC Accredited",MA,₹ 6.38 K,,,NIRFranking 136 out of 201 in 2023,6/10 (1 Reviews)
BPS Govt. Medical College for Women,https://zollege.in/college/217216-bps-govt-medical-college-for-women-sonepat,"Sonepat, Haryana | MCI Accredited",MBBS,₹ 48.25 K,,,,
Behala College,https://zollege.in/college/159865-behala-college-kolkata,"Kolkata, West Bengal | UGC Accredited",B.Sc,₹ 8.02 K,,,,
Adichunchanagiri Institute of Technology- [AIT],https://zollege.in/college/172050-adichunchanagiri-institute-of-technology-ait-chikmagalur,"Chikmagalur, Karnataka | AICTE Accredited",BE/B.Tech,₹ 2.35 Lakhs,ME/M.Tech,₹ 1.28 Lakhs,,
NERIM Group of Institutions - [NERIM],https://zollege.in/college/215231-nerim-group-of-institutions-nerim-guwahati,"Guwahati, Assam | NCTE, AICTE, BCI Accredited",MBA/PGDM,₹ 1.75 Lakhs,BBA/BBM,₹ 65.2 K,,8.5/10 (2 Reviews)
Angadi Institute of Technology and Management - [AITM],https://zollege.in/college/172142-angadi-institute-of-technology-and-management-aitm-belgaum,"Belgaum, Karnataka | AICTE Accredited",BE/B.Tech,₹ 90 K,ME/M.Tech,₹ 1.28 Lakhs,,8.7/10 (1 Reviews)
GM Institute of Pharmaceutical Sciences and Research - [GMIPSR],https://zollege.in/college/221899-gm-institute-of-pharmaceutical-sciences-and-research-gmipsr-davanagere,"Davanagere, Karnataka | AICTE, PCI Accredited",B.Pharm,₹ 1.1 Lakhs,,,,
Aryan Institute of Engineering and Technology - [AIET],https://zollege.in/college/172208-aryan-institute-of-engineering-and-technology-aiet-bhubaneswar,"Bhubaneswar, Orissa | AICTE Accredited",BE/B.Tech,₹ 2.52 Lakhs,ME/M.Tech,₹ 1.2 Lakhs,,6.8/10 (2 Reviews)
RA Podar College of Commerce and Economics,https://zollege.in/college/175433-ra-podar-college-of-commerce-and-economics-mumbai,"Mumbai, Maharashtra",B.Com,₹ 40.9 K,M.Com,₹ 12.6 K,The Weekranking 11 out of 107 in 2023,8.3/10 (2 Reviews)
Bidhannagar College,https://zollege.in/college/159954-bidhannagar-college-kolkata,"Kolkata, West Bengal | UGC, MHRD Accredited",B.Sc,₹ 3.53 K,M.Sc,₹ 3.74 K,,
Ravenshaw University - [RU],https://zollege.in/university/185086-ravenshaw-university-ru-cuttack,"Cuttack, Orissa | UGC Accredited",BA,₹ 26.94 K,MA,₹ 20 K,,7.8/10 (27 Reviews)
Bidhan Chandra College,https://zollege.in/college/215786-bidhan-chandra-college-asansol,"Asansol, West Bengal | UGC Accredited",BA,₹ 9 K,,,,
Murshidabad Medical College & Hospital,https://zollege.in/college/217217-murshidabad-medical-college-and-hospital-murshidabad,"Murshidabad, West Bengal | MCI Accredited",UG Diploma in Medical,₹ 6.52 K,Diploma in Medical,₹ 6.52 K,,
Azad Institute of Engineering and Technology - [AIET],https://zollege.in/college/172247-azad-institute-of-engineering-and-technology-aiet-lucknow,"Lucknow, Uttar Pradesh | AICTE Accredited",BE/B.Tech,₹ 55 K,ME/M.Tech,₹ 65 K,,
